question,answer,label
Describe Exploding head syndrome.,"Exploding head syndrome is characterized by the perception of abrupt, loud noises when going to sleep or waking up.",1
How are looped genes identified in yest?,"Gene-loop formation is dependent on regulatory proteins localized at the 5' and 3' ends of genes, such as TFIIB. gene-loop formation is dependent on regulatory proteins localized at the 5' and 3' ends of genes, such as tfiib. Gene-loop formation is dependent on regulatory proteins localized at the 5' and 3' ends of genes, such as TFIIB Gene-loop formation is dependent on regulatory proteins localized at the 5' and 3' ends of genes, such as TFIIB. . . . . ",1
What is REVIGO?,"REVIGO summarizes and visualizes long lists of gene ontology terms. REVIGO is a Web server that summarizes long, unintelligible lists of GO terms by finding a representative subset of the terms using a simple clustering algorithm that relies on semantic similarity measures. Furthermore, REVIGO visualizes this non-redundant GO term set in multiple ways to assist in interpretation: multidimensional scaling and graph-based visualizations accurately render the subdivisions and the semantic relationships in the data, while treemaps and tag clouds are also offered as alternative views. REVIGO is freely available at http://revigo.irb.hr/. Outcomes of high-throughput biological experiments are typically interpreted by statistical testing for enriched gene functional categories defined by the Gene Ontology (GO). The resulting lists of GO terms may be large and highly redundant, and thus difficult to interpret.REVIGO is a Web server that summarizes long, unintelligible lists of GO terms by finding a representative subset of the terms using a simple clustering algorithm that relies on semantic similarity measures. Furthermore, REVIGO visualizes this non-redundant GO term set in multiple ways to assist in interpretation: multidimensional scaling and graph-based visualizations accurately render the subdivisions and the semantic relationships in the data, while treemaps and tag clouds are also offered as alternative views. REVIGO is freely available at http://revigo.irb.hr/.",1
Which are the typical symptoms of Ménière's disease?,"The typical symptoms of Ménière's disease are:
1) sensorineural hearing loss, 
2) vertigo and 
3) tinnitus.",1
What are Degrons?,"Specific signals (degrons) regulate protein turnover mediated by the ubiquitin-proteasome system. Portable degradation sequences, or degrons, have the ability to bind to E3 ligases and promote substrate ubiquitination when the sequence is presented in isolation or appended to other entities such as fluorescent peptide-based reporters. portable degradation sequences, or degrons, have the ability to bind to e3 ligases and promote substrate ubiquitination when the sequence is presented in isolation or appended to other entities such as fluorescent peptide-based reporters.",1
List metalloenzyme inhibitors.,"Foscarnet
VT-1129
VT-1161 
BB-3497
hydroxamate molecules
siderophores",1
Which gene is mutated in the Karak syndrome?,PLA2G6 gene is mutated in the Karak syndrome.,1
Which proteins remove H2A.Z in the yeast Saccharomyces cerevisiae?,"Removal of H2A.Z by INO80 promotes homologous recombination Budding yeast INO80 can remove H2A.Z/H2B dimers from chromatin and replace them with H2A/H2B dimers. Here, we show that H2A.Z in human cells is indeed rapidly removed from chromatin flanking DNA damage by INO80. Here, we show that H2A.Z in human cells is indeed rapidly removed from chromatin flanking DNA damage by INO80. We also report that the histone chaperone ANP32E, which is implicated in removing H2AZ from chromatin, similarly promotes HR and appears to work on the same pathway as INO80 in these assays. Importantly, we demonstrate that the HR defect in cells depleted of INO80 or ANP32E can be rescued by H2A.Z co-depletion, suggesting that H2A.Z removal from chromatin is the primary function of INO80 and ANP32E in promoting homologous recombination. Budding yeast INO80 can remove H2A.Z/H2B dimers from chromatin and replace them with H2A/H2B dimers. Here, we show that H2A.Z in human cells is indeed rapidly removed from chromatin flanking DNA damage by INO80. We also report that the histone chaperone ANP32E, which is implicated in removing H2AZ from chromatin, similarly promotes HR and appears to work on the same pathway as INO80 in these assays. we also report that the histone chaperone anp32e, which is implicated in removing h2az from chromatin, similarly promotes hr and appears to work on the same pathway as ino80 in these assays. Budding yeast INO80 can remove H2A.Z/H2B dimers from chromatin and replace them with H2A/H2B dimers. Removal of H2A.Z by INO80 promotes homologous recombination H2A.Z removal from chromatin is the primary function of INO80 and ANP32E in promoting homologous recombination. Budding yeast INO80 can remove H2A.Z/H2B dimers from chromatin and replace them with H2A/H2B dimers. Removal of H2A.Z by INO80 promotes homologous recombination Budding yeast INO80 can remove H2A.Z/H2B dimers from chromatin and replace them with H2A/H2B dimers. H2A.Z removal from chromatin is the primary function of INO80 and ANP32E in promoting homologous recombination.",1
Are there methods for generating highly multiplexed ChIP-seq libraries?,Yes. There are methods for generating highly multiplexed ChIP-seq libraries.,1
Which diseases are associated with Primary intestinal lymphangiectasia (PIL)?,"Primary intestinal lymphangiectasia (PIL) is associated with:
1) Waldmann's disease and
2) Hennekam syndrome (HS).",1
Is there a relationship between B cells and Multiple Sclerosis?,MS patients with high neurodegeneration have changes in B cells characterized by down-regulation of B-cell-specific genes and increased activation status,1
Which disease is associated with mutated Sox2?,"SOX2 anophthalmia syndrome is an uncommon autosomal dominant syndrome caused by mutations in the SOX2 gene and clinically characterized by severe eye malformations (anophthalmia/microphthalmia) and extraocular anomalies mainly involving brain, esophagus, and genitalia.",1
What is the mechanism of action of onartuzumab?,"Onartuzumab is monoclonal antibody targeting MET. It works by inhibiting MET. Onartuzumab was tested for treatment of non-small cell lung carcinoma, adenocarcinoma of the stomach and gastroesophageal Junction, and recurrent glioblastoma.",1
Is the mouse Sry gene locus free of repetitive sequences?,"We demonstrate that the presence of long inverted repeats (IR) flanking the mouse Sry gene leads to the formation of the Sry circular transcript in cultured cells. We have found that in an in vitro assay, the SRY protein binds to several sites of the Sry gene and especially to a (CA)25 sequence and to a (CAG)30 repeat. The presence of long inverted repeats (IR) flanking the mouse Sry gene leads to the formation of the Sry circular transcript in cultured cells. We demonstrate that the presence of long inverted repeats (IR) flanking the mouse Sry gene leads to the formation of the Sry circular transcript in cultured cells Circularization requires the presence of both IR. We demonstrate that the presence of long inverted repeats (IR) flanking the mouse Sry gene leads to the formation of the Sry circular transcript in cultured cells We have found that in an in vitro assay, the SRY protein binds to several sites of the Sry gene and especially to a (CA)25 sequence and to a (CAG)30 repeat We demonstrate that the presence of long inverted repeats (IR) flanking the mouse Sry gene leads to the formation of the Sry circular transcript in cultured cells",1
Is Meis1 implicated in microphthalmia?,"Yes. Meis1 coordinates a network of genes implicated in eye development and microphthalmia. Haploinsufficiency of Meis1, which encodes a transcription factor with evolutionarily conserved expression in the embryonic trunk, brain and sensory organs, including the eye, causes microphthalmic traits and visual impairment in adult mice.",1
Does oculocutaneous albinism show an autosomal recessive inheritance?,"Yes, oculocutaneous albinism shows an autosomal recessive inheritance.",1
List 3 indications for Bupropion,"Bupropion is used to treat Obesity, for smoking cessation and for depression",1
Is the enzyme EPRS phosphorylated?,"Yes, EPRS is dually phosphorylated by cyclin-dependent kinase 5 (Cdk5) at Ser(886) and then by a Cdk5-dependent-AGC kinase at Ser(999)",1
Can Pentraxin 3 predict outcomes of sepsis?,"Yes, Pentraxin 3 s an objective biochemical marker in diagnosis of sepsis; it is helpful in assessment of severity and prognosis of sepsis; it also has a certain clinical value in the assessment of sepsis cardiovascular function damage.",1
Which polymerase transcribes pri-miRNAs?,"Recent evidence indicates that miRNA genes are transcribed by RNA polymerase II (Pol II) we have established a robust in vivo system in which pri-miRNA is transcribed by RNAP II and processed to pre-miRNA in HeLa cell nuclear extracts. Previous studies in vivo reported that processing of primary microRNA (pri-miRNA) is coupled to transcription by RNA polymerase II (RNAP II) and can occur co-transcriptionally.  The non-protein-encoding pri-miRNAs are synthesized by RNA polymerase II and post-transcriptionally modified by addition of a 5'-cap and a 3'-poly (A) tail.  Analogously to mRNAs, the non-protein-encoding pri-miRNAs are synthesized by RNA polymerase II and post-transcriptionally modified by addition of a 5'-cap and a 3'-poly (A) tail. Recent evidence indicates that miRNA genes are transcribed by RNA polymerase II (Pol II) Previous studies in vivo reported that processing of primary microRNA (pri-miRNA) is coupled to transcription by RNA polymerase II (RNAP II) and can occur co-transcriptionally. we have established a robust in vivo system in which pri-miRNA is transcribed by RNAP II and processed to pre-miRNA in HeLa cell nuclear extracts. Because the transcripts of most miRNA genes are the products of type-II RNA polymerase, pri-miRNA has a poly(A) tail and appears in expressed sequence tags (EST). Analogously to mRNAs, the non-protein-encoding pri-miRNAs are synthesized by RNA polymerase II and post-transcriptionally modified by addition of a 5'-cap and a 3'-poly (A) tail.",1
What is the role of Lysine 2-hydroxyisobutyrylation?,"Lysine 2-hydroxyisobutyrylation (Khib) is a widely distributed active histone mark. This histone mark was initially identified by MS and then validated by chemical and biochemical methods. Histone Khib shows distinct genomic distributions from histone Kac or histone Kcr during male germ cell differentiation. In male germ cells, H4K8hib is associated with active gene transcription in meiotic and post-meiotic cells. In addition, H4K8ac-associated genes are included in and constitute only a subfraction of H4K8hib-labeled genes. The histone Khib mark is conserved and widely distributed, has high stoichiometry and induces a large structural change.",1
Which mutated enzyme is responsible for oculocutaneous 1 (OCA1)-type albinism?,"Mutations in the gene for tyrosinase (TYR), the key enzyme in melanin synthesis, are responsible for oculocutaneous 1 (OCA1)-type albinism.",1
Please list 2 treatments for a torn roator cuff,to compare clinical outcomes between conventional en masse repair and separate double-layer double-row repair for the treatment of delaminated rotator cuff tears. Surgical repair earlier or later than 3 months after injury may result in similar outcomes and patient satisfaction.,1
List diseases associated with the  Dopamine Receptor D4 (DRD4).,The 5-repeat allele of a common length polymorphism in the gene that encodes the dopamine D4 receptor (DRD4) is robustly associated with the risk of attention deficit hyperactivity disorder (ADHD).,1
What is the role of Laser Interstitial Thermal Therapy in glioma treatment?,Laser Interstitial Thermal Therapy (LITT) is used in treatment of gliomas. LITT can be used effectively for treatment of difficult-to-access high-grade gliomas. More complete coverage of tumor improves progression free survival which can be translated as the extent of resection concept for surgery.,1
Which protein mediates the replacement of H2A by H2A.Z in the yeast Saccharomyces cerevisiae?,"Saccharomyces cerevisiae Swr1, a Swi2/Snf2-related ATPase, is the catalytic core of a multisubunit chromatin remodeling enzyme, called the SWR1 complex, that efficiently replaces conventional histone H2A in nucleosomes with histone H2A.Z. We identified a complex containing 13 different polypeptides associated with a soluble pool of H2A.Z in Saccharomyces cerevisiae. The multisubunit nucleosome-remodeling enzyme complex SWR1, conserved from yeast to mammals, catalyzes the ATP-dependent replacement of histone H2A in canonical nucleosomes with H2A.Z. The SWR1 complex replaces the canonical histone H2A with the variant H2A.Z (Htz1 in yeast) at specific chromatin regions. The multisubunit nucleosome-remodeling enzyme complex SWR1, conserved from yeast to mammals, catalyzes the ATP-dependent replacement of histone H2A in canonical nucleosomes with H2A.Z. The chromatin remodeler SWR1 mediates site-specific incorporation of H2A.Z by a multi-step histone replacement reaction, evicting histone H2A-H2B from the canonical nucleosome and depositing the H2A.Z-H2B dimer The multisubunit nucleosome-remodeling enzyme complex SWR1, conserved from yeast to mammals, catalyzes the ATP-dependent replacement of histone H2A in canonical nucleosomes with H2A.Z. Saccharomyces cerevisiae Swr1, a Swi2/Snf2-related ATPase, is the catalytic core of a multisubunit chromatin remodeling enzyme, called the SWR1 complex, that efficiently replaces conventional histone H2A in nucleosomes with histone H2A.Z.",1
Which are the key players on radial glial specification to ependymal cells?,"Mcidas and GemC1/Lynkeas specify embryonic radial glial cells. Both proteins were initially described as cell cycle regulators revealing sequence similarity to Geminin. They are expressed in radial glial cells committed to the ependymal cell lineage during embryogenesis, while overexpression and knock down experiments showed that are sufficient and necessary for ependymal cell generation.",1
Is ocular melanosis a risk factor for uveal melanoma?,"Yes, ocular melanosis (melanosis oculi) is a risk factor for uveal melanoma.",1
What does the human ABCC gene  product do?,"The important drug resistance-conferring members belong to three subfamilies of the human ABC family; these are ABCB1 (MDR1/P-glycoprotein of subfamily ABCB), subfamily ABCC (MRPs), and ABCG2 (BCRP of subfamily ABCG), which are expressed in various organs. The ATP-binding cassette (ABC) transporters constitute a large family of membrane proteins, which transport a variety of compounds through the membrane against a concentration gradient at the cost of ATP hydrolysis",1
What is known about telomere length shortening and stress?,A significant relationship between more perceived stress and shorter telomere length is consistent with theoretical frameworks positing that stress induces physiological changes that result in shortened telomeres.,1
What fruit causes Jamaican vomiting sickness?,"Jamaican Vomiting Sickness is caused by ingestion of the unripe arils of the Ackee fruit, its seeds and husks.",1
Are Ultra-conserved elements (UCEs) enriched in segmental duplications?,"ULEs are located in intergenic or intronic regions and are depleted from segmental duplications. In addition, here we show that these elements are preferentially found in pathogenic deletions (enrichment ratio 3.6 vs. 0.5 in duplications), and that this association is not related with a higher content of genes. we begin by showing that depletion for uces characterizes the most recent large-scale human cnv datasets and then find that even newly formed de novo cnvs, which have passed through meiosis at most once, are significantly depleted for uces. Ultraconserved elements (UCEs) are strongly depleted from segmental duplications and copy number variations (CNVs) in the human genome, suggesting that deletion or duplication of a UCE can be deleterious to the mammalian cell. These elements are most often located either overlapping exons in genes involved in RNA processing or in introns or nearby genes involved in the regulation of transcription and development. Mammalian ultraconserved elements are strongly depleted among segmental duplications and copy number variants. Notably, of the UCEs that are found in segmental duplications or copy number variants, the majority overlap exons, indicating, along with other findings presented, that UCEs overlapping exons represent a distinct subset. Here we address the process by which CNVs become depleted of UCEs. We begin by showing that depletion for UCEs characterizes the most recent large-scale human CNV datasets and then find that even newly formed de novo CNVs, which have passed through meiosis at most once, are significantly depleted for UCEs. Mammalian ultraconserved elements are strongly depleted among segmental duplications and copy number variants.",1
What is the applicability of the MCAST algorithm?,The MCAST algorithm uses a hidden Markov model with a P-value-based scoring scheme to identify candidate CRMs.,1
Which ApoE isoform is associated with atherosclerosis and Alzheimer's disease?,The ApoE4 isoform is associated with increased frequency of atherosclerosis and Alzheimer's disease (AD).,1
What organism causes woolsorter's disease,"Woolsorter's disease is caused by the same organism as Anthrax, bacillus Anthrax. ",1
Do normal cells express the protein TERT?,"Νο, telomerase activity is found in 85%-90% of all human cancers but not in their adjacent normal cells. Human telomerase reverse transcriptase (hTERT) is an essential component in the telomerase complex that plays an important role in telomerase activity.",1
Is siltuximab effective for Castleman disease?,"Yes, siltuximab , a chimeric human-mouse monoclonal antibody to IL6, is approved for the treatment of patients with multicentric Castleman disease who are human immunodeficiency virus negative and human herpesvirus-8 negative.",1
What is the function of yeast Clr4 on chromatin?,"Clr4 is known to regulate silencing and switching at the mating-type loci and to affect chromatin structure at centromeres. The Clr4 methyltransferase determines the subnuclear localization of the mating-type region in fission yeast. Heterochromatin assembly in fission yeast depends on the Clr4 histone methyltransferase, which targets H3K9.",1
What is the role of LIMT lncRNA?,"LINC01089 (LncRNA Inhibiting Metastasis; LIMT) is a highly conserved lncRNA, which is depleted in basal-like and in HER2-positive tumors, and the low expression of which predicts poor patient prognosis. Interestingly, EGF rapidly downregulates LIMT expression by enhancing histone deacetylation at the respective promoter. LIMT inhibits extracellular matrix invasion of mammary cells in vitro and tumor metastasis in vivo. LIMT is a novel metastasis inhibiting lncRNA suppressed by EGF and downregulated in aggressive breast cancer.",1
Is infertility characteristic of individuals with Fanconi anemia?,"Yes, infertility is characteristic of individuals with Fanconi anemia.",1
What are Kupffer cells and what is their role?,"Kupffer cells (KCs)are hepatic macrophages which can secrete matrix metalloproteinases (MMPs), and can contribute to decreased hepatic insulin sensitivity. KCs may play a role in the development of drug induced liver injury (DILI) Kupffer cells (KCs) play a role in the development of drug induced liver injury (DILI). Hepatic macrophages consist of Kupffer cells, which are originated from the fetal yolk-sack, and infiltrated bone marrow-derived monocytes/macrophages. ",1
What is known about saponins in crops and human consumption?,Saponins are considered antinutrients for humans and have a bitter taste. They should be removed from the crops before consumption.,1
Is golimumab effective for ulcerative colitis?,Yes. Golimumab is a TNF-blocking agent indicated as a second-line therapy in ulcerative colitis.,1
What is the role of histone variant H2A.W?,"The histone variant H2A.W defines heterochromatin and promotes chromatin condensation in Arabidopsis. The histone variant H2A.W marks heterochromatin specifically and acts in synergy with heterochromatic marks H3K9me2 and DNA methylation to maintain transposon silencing. In vivo, H2A.W is required for heterochromatin condensation, demonstrating that H2A.W plays critical roles in heterochromatin organization. In vitro, H2A.W enhances chromatin condensation by promoting fiber-to-fiber interactions via its conserved C-terminal motif. In non-flowering land plants, we identify a new class of H2A variants and propose their possible role in the emergence of the H2A.W variant class in flowering plants.  The histone variant H2A.W defines heterochromatin and promotes chromatin condensation in Arabidopsis The histone variant H2A.W marks heterochromatin specifically and acts in synergy with heterochromatic marks H3K9me2 and DNA methylation to maintain transposon silencing In vitro, H2A.W enhances chromatin condensation by promoting fiber-to-fiber interactions via its conserved C-terminal motif. In vivo, H2A.W is required for heterochromatin condensation, demonstrating that H2A.W plays critical roles in heterochromatin organization.  In non-flowering land plants, we identify a new class of H2A variants and propose their possible role in the emergence of the H2A.W variant class in flowering plants Covalent histone modifications (e.g. The histone variant H2A.W marks heterochromatin specifically and acts in synergy with heterochromatic marks H3K9me2 and DNA methylation to maintain transposon silencing. In vivo, H2A.W is required for heterochromatin condensation, demonstrating that H2A.W plays critical roles in heterochromatin organization. Histone chaperones escort histones, and play key functions during nucleosome assembly/disassembly and in nucleosome structure configuration. Here we focus on plant histone H2A/H2B chaperones, particularly members of the NUCLEOSOME ASSEMBLY PROTEIN-1 (NAP1) and FACILITATES CHROMATIN TRANSCRIPTION (FACT) families, discussing their molecular features, properties, regulation and function. We further discuss roles of NAP1 and FACT in chromatin-based processes, such as transcription, DNA replication and repair. Future major challenges remain in order to define in more detail the overlapping and specific roles of various members of the NAP1 family as well as differences and similarities between NAP1 and FACT family members, and to identify and characterize their partners as well as new families of chaperones to understand histone variant incorporation and chromatin target specificity.  In non-flowering land plants, we identify a new class of H2A variants and propose their possible role in the emergence of the H2A.W variant class in flowering plants In vitro, H2A.W enhances chromatin condensation by promoting fiber-to-fiber interactions via its conserved C-terminal motif. In vivo, H2A.W is required for heterochromatin condensation, demonstrating that H2A.W plays critical roles in heterochromatin organization. The histone variant H2A.W defines heterochromatin and promotes chromatin condensation in Arabidopsis Histone variants play crucial roles in gene expression, genome integrity, and chromosome segregation. The histone variant H2A.W marks heterochromatin specifically and acts in synergy with heterochromatic marks H3K9me2 and DNA methylation to maintain transposon silencing. In vivo, H2A.W is required for heterochromatin condensation, demonstrating that H2A.W plays critical roles in heterochromatin organization. Histone chaperones escort histones, and play key functions during nucleosome assembly/disassembly and in nucleosome structure configuration. Covalent histone modifications (e.g. ubiquitination, phosphorylation, methylation, acetylation) and H2A variants (H2A.Z, H2A.X and H2A.W) are also discussed in view of their crucial importance in modulating nucleosome organization and function. The histone variant H2A.W marks heterochromatin specifically and acts in synergy with heterochromatic marks H3K9me2 and DNA methylation to maintain transposon silencing. In vitro, H2A.W enhances chromatin condensation by promoting fiber-to-fiber interactions via its conserved C-terminal motif. In vivo, H2A.W is required for heterochromatin condensation, demonstrating that H2A.W plays critical roles in heterochromatin organization.",1
Does mTOR regulate the translation of MAPKAPK2?,"Yes. mTOR regulates the translation of the MK2 (also known as MAPKAPK2) kinase through 4EBP1.  In turn, MAPKAPK2 phosphorylates the RNA-binding protein ZFP36L1 during senescence, inhibiting its ability to degrade the transcripts of numerous senescence-associated secretory phenotype (SASP) components. Consequently, mTOR inhibition or constitutive activation of ZFP36L1 impairs the non-cell-autonomous effects of senescent cells in both tumour-suppressive and tumour-promoting contexts.",1
Which bacteria cause diphtheria?,"Diphtheria is caused by the bacteria:
1) Corynebacterium ulcerans and 
2) Corynebacterium diphtheriae.",1
What chromosome is affected in Turner's syndrome?,Turner's syndrome (TS) is a chromosomal defect with partial or total absence of the X chromosome Turner's syndrome (TS) is a chromosomal defect with partial or total absence of the X chromosome. Turner's syndrome (TS) is a chromosomal defect with partial or total absence of the X chromosome.  turner's syndrome (ts) is a chromosomal defect with partial or total absence of the x chromosome.,1
What is the aim of the TRAP assay?,Telomerase enzyme activity can be detected in whole cell lysates by a polymerase chain reaction (PCR)-based method referred to as the telomeric repeat amplification protocol (TRAP).,1
Describe clinical applications of the PIM2 scoring system.,The Pediatric Index of Mortality 2 (PIM2) is one of the most commonly used scoring systems to predict mortality in patients admitted to pediatric intensive care units. The PIM2 score adequately discriminates survivors from non-survivor,1
Do histone variant mH2A (macro-H2A) levels decrease upon differentiation?,"MacroH2A.1 was found to be present at low levels upon the establishment of pluripotency in the inner cell mass and epiblast, but it was highly enriched in the trophectoderm and differentiated somatic cells later in mouse development. Chromatin immunoprecipitation revealed that macroH2A.1 is incorporated in the chromatin of regulatory regions of pluripotency genes in somatic cells such as mouse embryonic fibroblasts and adult neural stem cells, but not in embryonic stem cells. In addition, overexpression of macroH2A isoforms prevented efficient reprogramming of epiblast stem cells to naïve pluripotency. 1 was found to be present at low levels upon the establishment of pluripotency in the inner cell mass and epiblast, but it was highly enriched in the trophectoderm and differentiated somatic cells later in mouse development. Histone variant macroH2A confers resistance to nuclear reprogramming Histone variant macroH2A marks embryonic differentiation in vivo and acts as an epigenetic barrier to induced pluripotency. Resistance to reprogramming is associated with incorporation of the histone variant macroH2A, which is retained on the Xi of differentiated cells, but absent from the Xi of EpiSCs. The histone variant macroH2A acts as a component of an epigenetic multilayer that heritably maintains the silent X chromosome and has been shown to restrict tumor development. Through manipulation of macroH2A isoforms, we further demonstrate that macroH2A2 is the predominant barrier to reprogramming. In particular, we find macroH2A isoforms to be highly enriched at target genes of the K27me3 demethylase, Utx, which are reactivated early in iPS reprogramming MacroH2A.1 was found to be present at low levels upon the establishment of pluripotency in the inner cell mass and epiblast, but it was highly enriched in the trophectoderm and differentiated somatic cells later in mouse development. Histone variant macroH2A marks embryonic differentiation in vivo and acts as an epigenetic barrier to induced pluripotency.",1
Which annotated database of A-to-I RNA editing is available?,"RADAR is a rigorously annotated database of A-to-I RNA editing. RADAR includes a comprehensive collection of A-to-I RNA editing sites identified in humans (Homo sapiens), mice (Mus musculus) and flies (Drosophila melanogaster), together with extensive manually curated annotations for each editing site. RADAR also includes an expandable listing of tissue-specific editing levels for each editing site, which will facilitate the assignment of biological functions to specific editing sites. The identification of A-to-I RNA editing sites has been dramatically accelerated in the past few years by high-throughput RNA sequencing studies. RADAR includes a comprehensive collection of A-to-I RNA editing sites identified in humans (Homo sapiens), mice (Mus musculus) and flies (Drosophila melanogaster), together with extensive manually curated annotations for each editing site.",1
